school,Sex,RACE,ACT,batball,3flips,widgets,trucks,lilypads,water,giftwrap,Jerry,IQ,3.4K v 3.8K(2),Prestige
UM (dearborn),Female,White,26.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Female,Black,23.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,low
UM (dearborn),Male,White,27.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,low
UM (dearborn),Male,Black,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
UM (dearborn),Male,Other,31.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,low
UM (dearborn),Male,White,26.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,low
UM (dearborn),Female,White,22.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,low
UM (dearborn),Male,White,22.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Female,White,26.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Male,White,27.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Male,Other,30.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,low
UM (dearborn),Female,White,20.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
UM (dearborn),Male,White,25.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,low
UM (dearborn),Female,White,30.0,0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,low
UM (dearborn),Female,White,26.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,low
UM (dearborn),Male,White,21.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,low
UM (dearborn),Female,White,29.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,low
UM (dearborn),Female,White,23.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Female,White,25.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,low
UM (dearborn),Female,White,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
UM (dearborn),Male,White,28.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,low
UM (dearborn),Female,White,27.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,low
UM (dearborn),Male,Black,25.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,low
UM (dearborn),Male,White,23.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
UM (dearborn),Male,Black,27.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
UM (dearborn),Male,White,31.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,low
UM (dearborn),Female,Black,19.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
UM (dearborn),Male,White,27.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,low
Toledo,Female,White,27.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,low
Toledo,Male,White,24.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,low
Toledo,Male,Black,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Female,White,22.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
Toledo,Female,Black,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Female,Black,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Male,White,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
Toledo,Male,White,32.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,low
Toledo,Male,White,33.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,low
Toledo,Male,White,21.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,low
Toledo,Female,White,26.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,low
Toledo,Male,White,28.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
Toledo,Female,White,28.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,low
Toledo,Female,White,26.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,low
Toledo,Female,White,24.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,low
Toledo,Female,Black,23.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,low
Toledo,Male,White,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
Toledo,Female,White,32.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
Toledo,Male,White,23.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,low
Toledo,Male,White,26.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
Toledo,Female,Black,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
Toledo,Female,Black,18.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
Toledo,Female,Black,20.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,low
Toledo,Male,White,26.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,low
Toledo,Female,Latino,24.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,low
Toledo,Male,White,32.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,low
